# roofline_data.csv — silicon-anchored data populated 2026-05-28.
# Sources: thesis report 2745-frame sweep (FC stage timings); other layers
# silicon-pending (Pillar B-runs blocked on UART decode + power-cycle).
layer,ai_mac_per_byte,silicon_ms,silicon_gops,peak_util_pct,roof_binding,source
compute_roof,inf,n/a,1.600,100.0,n/a,architectural
memory_roof_theoretical,n/a,n/a,4.800,n/a,n/a,UG585
memory_roof_empirical,n/a,n/a,pending,n/a,n/a,pillar_B2_pending
conv1,5.3,pending,pending,pending,compute_est,pillar_B3_pending
conv2,14.0,pending,pending,pending,compute_est,pillar_B3_pending
fc1,0.49,1.200,0.0427,2.7,memory,thesis_2745fr
fc2,0.12,0.300,0.0043,0.3,memory,thesis_2745fr
neon_fc1plus2,n/a,pending,pending,pending,n/a,pillar_B6_pending
