Sample in Buffer,Sample in Window,TRIGGER,base_i/system_ila_0/inst/net_slot_0_axis_tdata[23:0],base_i/system_ila_0/inst/net_slot_0_axis_tdest,base_i/system_ila_0/inst/net_slot_0_axis_tid,base_i/system_ila_0/inst/net_slot_0_axis_tkeep[2:0],base_i/system_ila_0/inst/net_slot_0_axis_tstrb[2:0],base_i/system_ila_0/inst/net_slot_0_axis_tuser,base_i/system_ila_0/inst/net_slot_0_axis_tvalid,base_i/system_ila_0/inst/net_slot_0_axis_tready,base_i/system_ila_0/inst/net_slot_0_axis_tlast,base_i/system_ila_0/inst/net_slot_1_axis_tdata[23:0],base_i/system_ila_0/inst/net_slot_1_axis_tdest,base_i/system_ila_0/inst/net_slot_1_axis_tid,base_i/system_ila_0/inst/net_slot_1_axis_tuser,base_i/system_ila_0/inst/net_slot_1_axis_tvalid,base_i/system_ila_0/inst/net_slot_1_axis_tready,base_i/system_ila_0/inst/net_slot_1_axis_tlast,base_i/system_ila_0/inst/net_slot_2_axis_tdata[31:0],base_i/system_ila_0/inst/net_slot_2_axis_tkeep[3:0],base_i/system_ila_0/inst/net_slot_2_axis_tstrb[3:0],base_i/system_ila_0/inst/net_slot_2_axis_tvalid,base_i/system_ila_0/inst/net_slot_2_axis_tready,base_i/system_ila_0/inst/net_slot_2_axis_tlast,Interface_(i1:s0)_(v_tpg_test_0_m_axis_video)[2:0],Interface_(i1:s1)_(axis_switch_in_M00_AXIS)[2:0],Interface_(i1:s2)_(Conn)[2:0],T_Channel_(i1:s0)_(v_tpg_test_0_m_axis_video)[2:0],T_Channel_(i1:s1)_(axis_switch_in_M00_AXIS)[2:0],T_Channel_(i1:s2)_(Conn)[2:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
621,621,0,eaea69,0,0,7,0,0,1,1,0,eaea69,0,0,0,1,1,0,d469eaea,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
622,622,0,ead469,0,0,7,0,0,1,1,0,ead469,0,0,0,1,1,0,eaea69ea,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
623,623,0,eaea69,0,0,7,0,0,1,1,0,eaea69,0,0,0,1,1,0,eaea69ea,0,f,0,1,0,"Active","Active","_","Stream Beat","Stream Beat","_"
624,624,0,ead469,0,0,7,0,0,1,1,0,ead469,0,0,0,1,1,0,69ead469,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
625,625,0,eaea69,0,0,7,0,0,1,1,0,eaea69,0,0,0,1,1,0,d469eaea,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
626,626,0,ead469,0,0,7,0,0,1,1,0,ead469,0,0,0,1,1,0,eaea69ea,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
627,627,0,eaea69,0,0,7,0,0,1,1,0,eaea69,0,0,0,1,1,0,eaea69ea,0,f,0,1,0,"Active","Active","_","Stream Beat","Stream Beat","_"
628,628,0,ead469,0,0,7,0,0,1,1,0,ead469,0,0,0,1,1,0,69ead469,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
629,629,0,eaea69,0,0,7,0,0,1,1,0,eaea69,0,0,0,1,1,0,d469eaea,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
630,630,0,ead469,0,0,7,0,0,1,1,0,ead469,0,0,0,1,1,0,eaea69ea,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
631,631,0,eaea69,0,0,7,0,0,1,1,0,eaea69,0,0,0,1,1,0,eaea69ea,0,f,0,1,0,"Active","Active","_","Stream Beat","Stream Beat","_"
632,632,0,ead469,0,0,7,0,0,1,1,0,ead469,0,0,0,1,1,0,69ead469,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
633,633,0,eaea69,0,0,7,0,0,1,1,0,eaea69,0,0,0,1,1,0,d469eaea,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
634,634,0,ead469,0,0,7,0,0,1,1,0,ead469,0,0,0,1,1,0,eaea69ea,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
635,635,0,eaea69,0,0,7,0,0,1,1,0,eaea69,0,0,0,1,1,0,eaea69ea,0,f,0,1,0,"Active","Active","_","Stream Beat","Stream Beat","_"
636,636,0,ead469,0,0,7,0,0,1,1,0,ead469,0,0,0,1,1,0,69ead469,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
637,637,0,eaea69,0,0,7,0,0,1,1,0,eaea69,0,0,0,1,1,0,d469eaea,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
638,638,0,ead469,0,0,7,0,0,1,1,0,ead469,0,0,0,1,1,0,eaea69ea,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
639,639,0,eaea69,0,0,7,0,0,1,1,0,eaea69,0,0,0,1,1,0,eaea69ea,0,f,0,1,0,"Active","Active","_","Stream Beat","Stream Beat","_"
640,640,0,ead469,0,0,7,0,0,1,1,0,ead469,0,0,0,1,1,0,69ead469,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
641,641,0,eaea69,0,0,7,0,0,1,1,0,eaea69,0,0,0,1,1,0,d469eaea,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
642,642,0,ead469,0,0,7,0,0,1,1,0,ead469,0,0,0,1,1,0,eaea69ea,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
643,643,0,eaea69,0,0,7,0,0,1,1,0,eaea69,0,0,0,1,1,0,eaea69ea,0,f,0,1,0,"Active","Active","_","Stream Beat","Stream Beat","_"
644,644,0,ead469,0,0,7,0,0,1,1,0,ead469,0,0,0,1,1,0,69ead469,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
645,645,0,eaea69,0,0,7,0,0,1,1,0,eaea69,0,0,0,1,1,0,d469eaea,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
646,646,0,ead469,0,0,7,0,0,1,1,0,ead469,0,0,0,1,1,0,eaea69ea,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
647,647,0,eaea69,0,0,7,0,0,1,1,0,eaea69,0,0,0,1,1,0,eaea69ea,0,f,0,1,0,"Active","Active","_","Stream Beat","Stream Beat","_"
648,648,0,ead469,0,0,7,0,0,1,1,0,ead469,0,0,0,1,1,0,69ead469,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
649,649,0,eaea69,0,0,7,0,0,1,1,0,eaea69,0,0,0,1,1,0,d469eaea,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
650,650,0,ead469,0,0,7,0,0,1,1,0,ead469,0,0,0,1,1,0,eaea69ea,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
651,651,0,eaea69,0,0,7,0,0,1,1,0,eaea69,0,0,0,1,1,0,eaea69ea,0,f,0,1,0,"Active","Active","_","Stream Beat","Stream Beat","_"
652,652,0,ead469,0,0,7,0,0,1,1,0,ead469,0,0,0,1,1,0,69ead469,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
653,653,0,eaea69,0,0,7,0,0,1,1,0,eaea69,0,0,0,1,1,0,d469eaea,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
